year,event1,event2,event3,event4
1945,Chinese Civil War,WWII,,
1946,Chinese Civil War,First IndoChina War,,
1947,Chinese Civil War,First IndoChina War,,
1948,Chinese Civil War,First IndoChina War,,
1949,Chinese Civil War,First IndoChina War,,
1950,,First IndoChina War,,
1951,Korean War,First IndoChina War,,
1952,Korean War,First IndoChina War,,
1953,Korean War,First IndoChina War,Iranian Coup,Cuban Revolution
1954,Korean War,First IndoChina War,,Cuban Revolution
1955,Vietnam War,,,Cuban Revolution
1956,Vietnam War,,,Cuban Revolution
1957,Vietnam War,,,Cuban Revolution
1958,Vietnam War,,,Cuban Revolution
1959,Vietnam War,,,Cuban Revolution
1960,Vietnam War,,,
1961,Vietnam War,First Iraqi-Kurdish War,,Bay of Pigs Invasion
1962,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1963,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1964,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1965,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1966,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1967,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1968,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1969,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1970,Vietnam War,First Iraqi-Kurdish War,North Yemen Civil War,
1971,Vietnam War,,,
1972,Vietnam War,,,
1973,Vietnam War,,,
1974,Vietnam War,,,
1975,Vietnam War,Lebanese Civil War,,
1976,Islamist Uprising in Syria,Lebanese Civil War,,
1977,Islamist Uprising in Syria,Lebanese Civil War,,
1978,Islamist Uprising in Syria,Lebanese Civil War,Iranian Revolution,
1979,Islamist Uprising in Syria,Lebanese Civil War,Iranian Revolution,Soviet-Afghan War
1980,Islamist Uprising in Syria,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1981,Islamist Uprising in Syria,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1982,Islamist Uprising in Syria,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1983,,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1984,,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1985,,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1986,,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1987,,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1988,,Lebanese Civil War,Iran-Iraq War,Soviet-Afghan War
1989,,Lebanese Civil War,,Soviet-Afghan War
1990,,Lebanese Civil War,,
